Variables,Site,Zone,Season,Tide,Param_means,Param_vars,Param_sd
Phosphate,W,Offshore,SPRING,Low,0.16499999999999998,0.00405,0.06363961030678927
Phosphate,W,Transition,FALL,High,0.09,6.66666666666667e-5,0.008164965809277263
Phosphate,W,Transition,FALL,Low,0.23,0.016066666666666667,0.1267543556122103
Phosphate,W,Transition,SPRING,High,0.1125,9.166666666666657e-5,0.009574271077563376
Phosphate,W,Transition,SPRING,Low,0.4125,0.01769166666666667,0.1330100246848585
Salinity,BP,Ambient,FALL,High,34.626108634,4.9024478867130665e-5,0.007001748272191072
Salinity,BP,Ambient,FALL,Low,34.314566018,0.44754742415569754,0.6689898535521279
Salinity,BP,Ambient,SPRING,High,34.64354634,7.344100135580928e-5,0.008569772538160466
Salinity,BP,Ambient,SPRING,Low,34.658814768,1.9717739040112003e-5,0.004440466083657436
Salinity,BP,Diffuse,FALL,High,34.593777951999996,0.0028469150181668554,0.05335648993484162
Salinity,BP,Diffuse,FALL,Low,33.78342507,0.39552356130868366,0.6289066395806961
Salinity,BP,Diffuse,SPRING,High,34.32370204,0.048457700588153976,0.22013109863931987
Salinity,BP,Diffuse,SPRING,Low,33.80920618,0.3569162688169249,0.5974246971936504
Salinity,BP,Transition,FALL,High,34.566369877999996,0.00320895528258506,0.05664764145650779
Salinity,BP,Transition,FALL,Low,33.571002068,0.20157517821880025,0.4489712443117045
Salinity,BP,Transition,SPRING,High,34.175314642,0.03231158177613172,0.1797542260313557
Salinity,BP,Transition,SPRING,Low,30.272271374,1.4874301105092014,1.2196024395306864
Salinity,W,Ambient,FALL,High,34.58915203375,3.6566170470388583e-4,0.019122282936508545
Salinity,W,Ambient,FALL,Low,34.59893070875,1.1911639637238324e-4,0.010914045829681276
Salinity,W,Ambient,SPRING,High,34.60222689375,7.753344038670126e-5,0.008805307512330348
Salinity,W,Ambient,SPRING,Low,34.573769848750004,0.0017129272508674498,0.04138752530494484
Salinity,W,Diffuse,FALL,High,34.5297658025,2.2593316486093078e-4,0.015031073310343835
Salinity,W,Diffuse,FALL,Low,34.26722482125,0.4048296431384662,0.636262243998861
Salinity,W,Diffuse,SPRING,High,34.5471257025,3.99770278823713e-4,0.019994256145796297
Salinity,W,Diffuse,SPRING,Low,33.03011237625,3.0765811843913657,1.7540185815410754
Salinity,W,Offshore,SPRING,High,34.61744427,3.129069475275149e-5,0.0055938086088774515
Salinity,W,Offshore,SPRING,Low,34.602062085,1.1164199221802067e-4,0.010566077428167025
Salinity,W,Transition,FALL,High,34.446701992499996,9.243630646654349e-4,0.03040333969591885
Salinity,W,Transition,FALL,Low,31.88875405,3.6750401913981343,1.9170394339705519
Salinity,W,Transition,SPRING,High,34.472961582500005,0.0010291645060053866,0.03208059391603258
Salinity,W,Transition,SPRING,Low,29.88588334,5.348240120544408,2.3126262388341976
Silicate,BP,Ambient,FALL,High,2.178,0.02817000000000002,0.16783920876839245
Silicate,BP,Ambient,FALL,Low,9.645999999999999,257.16553,16.0363814496912
Silicate,BP,Ambient,SPRING,High,1.76,0.04219999999999996,0.20542638584174128
Silicate,BP,Ambient,SPRING,Low,1.3940000000000001,0.011329999999999995,0.10644247272588135
Silicate,BP,Diffuse,FALL,High,2.953,1.6358677777777777,1.2790104682049235
Silicate,BP,Diffuse,FALL,Low,22.378,227.2720622222222,15.075545171642124
Silicate,BP,Diffuse,SPRING,High,9.427,27.84431222222222,5.276771003390446
Silicate,BP,Diffuse,SPRING,Low,21.76,205.08790000000002,14.320890335450517
Silicate,BP,Transition,FALL,High,3.61,1.8439000000000005,1.3579027947537337
Silicate,BP,Transition,FALL,Low,27.47,115.82724999999999,10.76230690883697
Silicate,BP,Transition,SPRING,High,12.984,18.566579999999995,4.308895450112476
Silicate,BP,Transition,SPRING,Low,106.544,854.69323,29.235136907495406
Silicate,W,Ambient,FALL,High,2.09375,0.18931249999999997,0.4351005630885807
Silicate,W,Ambient,FALL,Low,1.8712499999999999,0.06166964285714287,0.24833373282166654
Silicate,W,Ambient,SPRING,High,1.7962500000000001,0.04014107142857145,0.20035236816312266
Silicate,W,Ambient,SPRING,Low,2.44375,0.8868267857142859,0.9417148112429187
Silicate,W,Diffuse,FALL,High,3.445,0.1169714285714285,0.34201086031210837
Silicate,W,Diffuse,FALL,Low,9.41875,209.5907839285714,14.477250565234112
Silicate,W,Diffuse,SPRING,High,3.05,0.2069714285714285,0.4549411264893827
Silicate,W,Diffuse,SPRING,Low,37.5675,1592.8257071428573,39.91022058499373
Silicate,W,Offshore,SPRING,High,1.4500000000000002,0.01619999999999999,0.12727922061357852
Silicate,W,Offshore,SPRING,Low,1.7999999999999998,0.057800000000000025,0.24041630560342622
Silicate,W,Transition,FALL,High,5.335,0.4785666666666668,0.6917851304174345
Silicate,W,Transition,FALL,Low,63.5375,1902.6634250000002,43.619530316132476
Silicate,W,Transition,SPRING,High,4.7375,0.5328249999999998,0.7299486283294186
Silicate,W,Transition,SPRING,Low,109.11,2768.9223333333334,52.62055048489452
TA,BP,Ambient,FALL,High,2262.1289456,197.27485036213335,14.045456573644495
TA,BP,Ambient,FALL,Low,2255.9237542,187.47959282144473,13.69231875255045
TA,BP,Ambient,SPRING,High,2247.65455575,557.9128088546279,23.620178002179152
TA,BP,Ambient,SPRING,Low,2244.4175278,900.4536282057028,30.007559517656592
TA,BP,Diffuse,FALL,High,2253.9384348,332.2251441285785,18.227044305881808
TA,BP,Diffuse,FALL,Low,2281.4217499,1184.6846246129912,34.41924787982723
TA,BP,Diffuse,SPRING,High,2226.9132219,1369.4944656841699,37.00668136545305
TA,BP,Diffuse,SPRING,Low,2294.248579,3001.3452369626566,54.7845346513289
TA,BP,Transition,FALL,High,2247.8898708,76.479954317068,8.745281831768946
TA,BP,Transition,FALL,Low,2296.9844942,780.8697407095972,27.944046605844278
TA,BP,Transition,SPRING,High,2225.8430442,733.937659008529,27.091283819865918
TA,BP,Transition,SPRING,Low,2358.7787384,3976.1537826073545,63.05675049197631
TA,W,Ambient,FALL,High,2242.324260625,134.84446959819132,11.612255146963975
TA,W,Ambient,FALL,Low,2256.38137675,169.3097482662796,13.011907941046909
TA,W,Ambient,SPRING,High,2260.08447,240.23594583145768,15.499546633094068
TA,W,Ambient,SPRING,Low,2273.4323285,661.3510415013961,25.716746324163875
TA,W,Diffuse,FALL,High,2230.455643875,183.04304437939788,13.529340130967137
TA,W,Diffuse,FALL,Low,2242.201647625,185.65145323666218,13.625397360688686
TA,W,Diffuse,SPRING,High,2265.906490125,280.03794485407377,16.73433431165022
TA,W,Diffuse,SPRING,Low,2224.362008,1983.74983129493,44.53930658749561
TA,W,Offshore,SPRING,High,2279.7256180000004,2.2747975742422,1.508243207921786
TA,W,Offshore,SPRING,Low,2284.407669,203.68945998844987,14.271981641960231
TA,W,Transition,FALL,High,2232.9123375,138.4714402976612,11.767388847899145
TA,W,Transition,FALL,Low,2211.40234875,773.6589606749769,27.81472560847899
TA,W,Transition,SPRING,High,2278.4936735,1602.6283830944506,40.03284130678774
TA,W,Transition,SPRING,Low,2199.82101575,3347.352448053076,57.8563086279541
Temp_in,BP,Ambient,FALL,High,27.402858854,0.0614589021023455,0.24790906014574277
Temp_in,BP,Ambient,FALL,Low,27.00580662,0.032756049005602,0.18098632270313136
Temp_in,BP,Ambient,SPRING,High,25.588246835,0.03736571562162165,0.19330213558474116
Temp_in,BP,Ambient,SPRING,Low,24.786978008000002,0.007273321465673522,0.08528377023603917
Temp_in,BP,Diffuse,FALL,High,27.780202011,0.07062549163681038,0.2657545703027709
Temp_in,BP,Diffuse,FALL,Low,27.014888438,0.10059698599394766,0.3171702791781532
Temp_in,BP,Diffuse,SPRING,High,26.081317176,0.04280644160903541,0.2068971764162948
Temp_in,BP,Diffuse,SPRING,Low,24.379511866,0.20000756911434833,0.4472220579469983
Temp_in,BP,Transition,FALL,High,28.15101111,0.177427365669028,0.42122127874672716
Temp_in,BP,Transition,FALL,Low,26.798707738,0.019737943177668648,0.14049179042801271
Temp_in,BP,Transition,SPRING,High,26.404227562,0.15507315624438642,0.3937932912638132
Temp_in,BP,Transition,SPRING,Low,24.221781932,0.025227954087020516,0.1588331013580624
Temp_in,W,Ambient,FALL,High,27.629305845,0.17336962975250947,0.4163767882009148
Temp_in,W,Ambient,FALL,Low,26.685824965000002,0.5030262052343525,0.7092434033773966
Temp_in,W,Ambient,SPRING,High,25.598757265,0.07659007829642862,0.27674912519541706
Temp_in,W,Ambient,SPRING,Low,24.34232835125,0.17992060086175082,0.42417048560897164
Temp_in,W,Diffuse,FALL,High,27.345995335,0.045207675589366364,0.2126209669561456
Temp_in,W,Diffuse,FALL,Low,25.92029789375,0.18896174595402832,0.43469730382649985
Temp_in,W,Diffuse,SPRING,High,25.462790265,0.021759713743354576,0.14751174103560225
Temp_in,W,Diffuse,SPRING,Low,23.929162465,0.14246078339678372,0.3774397745293727
Temp_in,W,Offshore,SPRING,High,24.60358254,0,0
Temp_in,W,Offshore,SPRING,Low,24.43115441,0,0
Temp_in,W,Transition,FALL,High,27.276504895,0.1837745036866013,0.4286892857147252
Temp_in,W,Transition,FALL,Low,25.36927697,0.19759350386027694,0.44451490847920605
Temp_in,W,Transition,SPRING,High,25.4543229125,0.08830073265246105,0.29715439194543475
Temp_in,W,Transition,SPRING,Low,23.4854849275,0.3615274166626519,0.6012714999587557
pH,BP,Ambient,FALL,High,8.105,1.454999999999977e-4,0.012062338081814724
pH,BP,Ambient,FALL,Low,8.040799999999999,0.001464199999999987,0.03826486639203104
pH,BP,Ambient,SPRING,High,8.16675,7.755833333333322e-4,0.027849296819369287
pH,BP,Ambient,SPRING,Low,8.145,0.0011199999999999691,0.03346640106136256
pH,BP,Diffuse,FALL,High,8.157399999999999,0.003342933333333305,0.05781810558409282
pH,BP,Diffuse,FALL,Low,8.0428,0.0017775111111111074,0.04216053973932387
pH,BP,Diffuse,SPRING,High,8.2721,0.0010758777777777641,0.032800575875703224
pH,BP,Diffuse,SPRING,Low,8.0986,0.0022053000000000064,0.04696062180167557
pH,BP,Transition,FALL,High,8.183,0.0010529999999999795,0.03244996147917559
pH,BP,Transition,FALL,Low,7.9942,0.007513700000000065,0.08668160127731873
pH,BP,Transition,SPRING,High,8.2934,0.0010292999999999943,0.032082705621564934
pH,BP,Transition,SPRING,Low,8.0562,7.447000000000098e-4,0.02728919199976448
pH,W,Ambient,FALL,High,8.156125,6.881249999999957e-4,0.02623213677914927
pH,W,Ambient,FALL,Low,8.092875,0.0022578392857142923,0.047516726378342734
pH,W,Ambient,SPRING,High,8.094625,4.3683928571427733e-4,0.020900700603431393
pH,W,Ambient,SPRING,Low,7.96825,8.013571428571478e-4,0.02830825220420978
pH,W,Diffuse,FALL,High,8.141,6.991428571428587e-4,0.026441309671475403
pH,W,Diffuse,FALL,Low,8.068624999999999,7.028392857142892e-4,0.02651111626684718
pH,W,Diffuse,SPRING,High,8.08225,1.2678571428571827e-4,0.01125991626459621
pH,W,Diffuse,SPRING,Low,7.976625,9.939821428571452e-4,0.031527482342507865
pH,W,Offshore,SPRING,High,8.0345,4.050000000000307e-5,0.006363961030679169
pH,W,Offshore,SPRING,Low,7.954,8.819999999999923e-4,0.029698484809834867
pH,W,Transition,FALL,High,8.13175,0.0016102500000000257,0.040127920454466934
pH,W,Transition,FALL,Low,8.13275,0.002208916666666677,0.046999113466816345
pH,W,Transition,SPRING,High,8.0835,2.5366666666665964e-4,0.0159269164205335
pH,W,Transition,SPRING,Low,7.973,0.0023813333333333334,0.048798907091586935
percent_sgd,BP,Ambient,FALL,High,0.274307305,4.468336256844474e-4,0.021138439528130912
percent_sgd,BP,Ambient,FALL,Low,1.214861461,4.079169494401652,2.019695396440179
percent_sgd,BP,Ambient,SPRING,High,0.2216624685,6.693780233891041e-4,0.025872340895038936
percent_sgd,BP,Ambient,SPRING,Low,0.1755667504,1.797168891614694e-4,0.0134058527950097
percent_sgd,BP,Diffuse,FALL,High,0.37191435770000003,0.02594819746039764,0.161084442018457
percent_sgd,BP,Diffuse,FALL,Low,2.8183879093,3.6049981631560164,1.8986832708895964
percent_sgd,BP,Diffuse,SPRING,High,1.1872795969,0.4416675479972266,0.6645807309855039
percent_sgd,BP,Diffuse,SPRING,Low,2.7405541562,3.253112131552781,1.8036385811888092
percent_sgd,BP,Transition,FALL,High,0.4546599494,0.02924801247876866,0.17102050309471278
percent_sgd,BP,Transition,FALL,Low,3.459697733,1.837256279928091,1.3554542706886465
percent_sgd,BP,Transition,SPRING,High,1.6352644835999999,0.294503803799454,0.5426820466898219
percent_sgd,BP,Transition,SPRING,Low,13.418639798400001,13.557176784311336,3.6820071678788646
percent_sgd,W,Ambient,FALL,High,0.270510336,0.0031600748631015574,0.05621454316368281
percent_sgd,W,Ambient,FALL,Low,0.241763565875,0.0010294126757314597,0.03208446159329247
percent_sgd,W,Ambient,SPRING,High,0.232073643375,6.700497292147764e-4,0.025885318796854257
percent_sgd,W,Ambient,SPRING,Low,0.31572997425,0.014803243360701905,0.12166858000610471
percent_sgd,W,Diffuse,FALL,High,0.445090439375,0.0019525307127151999,0.04418744971952104
percent_sgd,W,Diffuse,FALL,Low,1.2168927648749999,3.4985675264611666,1.8704458095494685
percent_sgd,W,Diffuse,SPRING,High,0.3940568475,0.0034548442507881185,0.05877792315817324
percent_sgd,W,Diffuse,SPRING,Low,4.8536821703749995,26.588040695557336,5.156359248108818
percent_sgd,W,Offshore,SPRING,High,0.187338501,2.704164424012983e-4,0.01644434378141306
percent_sgd,W,Offshore,SPRING,Low,0.23255813949999998,9.648191733335999e-4,0.031061538489482454
percent_sgd,W,Transition,FALL,High,0.689276486,0.007988413242362128,0.0893779236856738
percent_sgd,W,Transition,FALL,Low,8.208979328,31.759967419722237,5.635598230864425
percent_sgd,W,Transition,SPRING,High,0.6120801035,0.008894113606397183,0.09430860833665813
percent_sgd,W,Transition,SPRING,Low,14.0968992245,46.21988416988996,6.798520733945728
